 SEC PL Code , B310E , B313E , B350E , J106H , J200H , J210F , G532G , J210FZ , J500H , G600F , J700H , J710F , G610F , A510F , A710F , A720F , C900F , G935F , G950F , G955F , T116N , T285Y , T561N 
PL1179,63,13,16,6,80,5,41,17,2,51,51,26,44,3,3,2,2,0,0,5,3,1,2
PL703,55,24,14,17,92,2,19,13,2,5,16,9,11,1,2,1,0,0,1,1,3,0,1
PL969,49,13,8,9,78,3,61,46,2,23,41,18,27,5,4,2,2,0,0,2,2,1,1
PL1133,37,11,8,13,63,3,45,38,2,26,24,13,21,3,0,0,0,0,1,1,2,1,1
XLSE1302,7,2,2,1,10,1,5,4,1,2,3,9,5,2,0,0,0,0,0,0,0,0,0
PL1217,80,15,18,15,88,8,72,90,3,20,40,38,20,3,2,2,2,0,0,5,6,1,1
PL1194,61,13,13,10,54,5,32,13,1,12,35,9,7,0,2,0,2,0,0,1,1,0,0
PL358,74,14,22,8,31,6,18,16,3,22,80,26,76,4,10,7,6,0,1,5,2,1,3
PL1216,68,10,12,7,41,5,22,11,1,6,19,4,11,2,2,0,1,0,0,1,1,0,1
PL1122,95,13,14,8,26,4,20,10,1,16,47,14,37,3,2,0,4,1,1,3,2,1,1
PL1238,110,30,35,4,53,2,24,20,2,3,14,11,11,2,0,0,2,0,1,0,0,0,0
PL1002,14,13,0,1,178,3,18,13,1,4,29,4,4,0,0,0,1,0,1,1,0,0,0
PL1200,64,9,9,3,60,5,64,50,5,15,50,38,40,4,2,4,1,1,0,1,4,2,1
PL140,26,5,10,4,9,0,12,11,1,11,18,8,3,0,1,0,0,0,0,1,3,1,0
PL044,51,3,12,4,64,6,58,56,4,27,65,45,69,3,12,5,2,1,2,13,4,1,2
PL1155,50,4,11,4,64,7,57,56,3,28,66,45,69,4,11,6,2,0,3,12,4,1,2
Pl1209,28,9,4,4,25,2,22,22,1,3,11,2,7,0,0,0,0,0,0,2,0,0,0
PL645,47,16,7,6,71,3,27,26,3,14,13,11,11,1,1,0,0,0,0,1,0,0,0
PL1256,9,2,0,3,18,1,5,7,1,5,9,9,7,2,1,0,0,0,1,0,1,0,0
PL1265,13,2,0,1,14,1,5,10,1,3,5,4,1,0,0,0,0,0,0,2,0,0,0
PL1271,5,3,0,3,12,1,5,9,1,4,7,3,4,0,1,0,0,0,0,0,1,0,0
PL175,35,6,5,4,60,3,43,70,3,15,20,25,20,4,3,5,1,0,1,1,4,0,1
PL1125,10,1,0,6,4,1,2,2,1,4,3,7,10,1,1,0,0,0,1,1,0,0,0
PL1004,19,4,5,3,15,1,12,23,0,5,8,5,15,0,1,3,1,0,0,2,1,0,0
PL1207,13,3,0,4,15,2,10,17,1,5,9,8,5,2,2,2,0,0,0,0,0,0,1
PL1129,32,8,5,6,44,5,26,33,2,24,37,31,71,5,10,4,3,1,1,10,4,1,3
PL608,20,2,15,9,28,2,8,4,1,24,17,19,22,2,4,2,1,1,1,8,3,1,3
PL446,4,2,4,16,8,1,8,2,1,5,10,10,40,2,2,4,2,0,2,5,4,1,2
PL1219,32,11,3,5,26,1,15,15,2,6,8,8,20,2,0,2,1,0,1,0,1,0,0
XLSE1313,6,2,0,1,15,1,5,10,0,4,3,4,4,1,0,0,0,0,0,0,0,0,0
PL773,9,4,2,5,10,1,8,5,1,2,5,3,7,0,1,0,0,0,0,0,1,0,0
PL1136,10,1,0,8,6,1,4,3,1,3,6,4,2,2,1,0,0,0,0,0,2,0,0
PL545,12,4,2,6,16,2,11,2,1,3,12,8,22,2,4,2,2,0,1,5,1,1,0
PL1220,34,6,5,6,50,4,29,77,2,8,35,20,25,3,3,3,3,0,0,2,2,1,0
PL1166,10,4,0,2,9,0,7,3,0,4,2,2,1,0,0,0,0,0,0,1,1,0,1
PL1198,10,3,2,0,8,1,5,5,1,2,4,3,8,1,0,0,0,0,0,0,0,1,0
PL675,6,2,0,15,6,0,5,5,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0
PL756,14,4,3,3,25,1,8,8,1,6,8,10,10,2,1,3,0,0,0,1,1,2,1
PL914,21,5,6,6,35,2,28,25,1,11,28,17,23,9,2,3,2,1,1,3,2,8,5
PL1229,12,2,2,10,11,1,6,2,0,5,8,6,8,0,1,0,0,0,1,1,0,1,0
PL1212,18,4,4,4,36,1,17,9,1,4,15,12,5,3,2,3,1,1,1,3,4,0,0
PL887,30,12,3,6,27,3,13,20,2,7,15,10,20,2,2,2,0,0,0,1,1,1,0
